1.11737 2.0
1.13549 1.93585
1.15046 1.8709
1.16232 1.8053
1.17116 1.73923
1.17706 1.67283
1.18009 1.60623
1.18033 1.53957
1.17786 1.47296
1.17275 1.40649
1.16504 1.34028
1.15477 1.27441
1.14197 1.20899
1.12663 1.14411
1.10873 1.0799
1.08825 1.01646
1.06513 0.953938
1.0393 0.892487
1.01067 0.832285
0.979175 0.773535
0.944727 0.716468
0.907262 0.661334
0.866743 0.608406
0.823172 0.557961
0.776603 0.510272
0.72715 0.465581
0.674988 0.424082
0.620349 0.385903
0.563507 0.351088
0.504755 0.319601
0.444388 0.291329
0.382688 0.266097
0.319905 0.243689
0.256259 0.223865
0.191931 0.206375
0.12707 0.190976
0.0617948 0.177435
-0.00379997 0.165537
-0.0696412 0.155086
-0.135672 0.145908
-0.201849 0.137847
-0.268138 0.130764
-0.334513 0.124539
-0.400954 0.119067
-0.467447 0.114254
-0.533978 0.11002
-0.600541 0.106294
-0.667127 0.103014
-0.733731 0.100128
-0.800349 0.0975868
-0.866978 0.0953506
-0.933615 0.0933833
-1.00026 0.0916526
-1.06691 0.0901324
-1.13356 0.0887976
-1.20022 0.0876261
-1.26688 0.0866005
-1.33354 0.0857046
-1.4002 0.0849243
-1.46686 0.0842457
-1.53353 0.0836575
-1.60019 0.0831503
-1.66686 0.0827155
-1.73352 0.0823458
-1.80019 0.0820344
-1.86685 0.0817757
-1.93352 0.0815643
-2.00019 0.0813958
-2.06685 0.0812661
-2.13352 0.0811718
-2.20019 0.0811098
-2.26685 0.0810775
-2.33352 0.0810726
-2.40019 0.081093
-2.46685 0.081137
-2.53352 0.0812033
-2.60019 0.0812906
-2.66685 0.0813978
-2.73352 0.0815242
-2.80018 0.0816692
-2.86685 0.0818322
-2.93352 0.0820129
-3.00018 0.0822111
-3.06685 0.0824267
-3.13352 0.0826599
-3.20018 0.0829107
-3.26685 0.0831795
-3.33351 0.0834667
-3.40018 0.0837726
-3.46685 0.0840981
-3.53351 0.0844436
-3.60018 0.08481
-3.66684 0.0851982
-3.73351 0.0856083
-3.80017 0.0860414
