#TITLE = "Vitesse instantannée à différentes positions dans un écoulement de Poiseuille pulsé - f = 34hz"
#VARIABLES = "t*","u [m/s]" 
#ZONE T="Zone1",STRANDID=1,SOLUTIONTIME=1
0.0000	0.726329
0.0333	0.733034
0.0667	0.739869
0.1000	0.746343
0.1333	0.752148
0.1667	0.757083
0.2000	0.760708
0.2333	0.762735
0.2667	0.762996
0.3000	0.761547
0.3333	0.758646
0.3667	0.754481
0.4000	0.749735
0.4333	0.744465
0.4667	0.738653
0.5000	0.732913
0.5333	0.727542
0.5667	0.721948
0.6000	0.716892
0.6333	0.712013
0.6667	0.707912
0.7000	0.7047
0.7333	0.702808
0.7667	0.701478
0.8000	0.701762
0.8333	0.702948
0.8667	0.705841
0.9000	0.709731
0.9333	0.714281
0.9667	0.720001
1.0000	0.726329
